,frame,x,y,ts,dst_px,dst_cm,speed_cms,angle,dir,box,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,sharp_turns
0,3,335,229,0.05,13.34,0.11,,12.99,1,E1,0,0,0,0,0,0,1
1,4,322,226,0.07,8.54,0.07,,20.56,1,E1,0,0,0,0,0,0,1
2,5,314,223,0.08,8.06,0.06,,29.74,2,C,0,0,0,0,1,0,1
3,6,307,219,0.1,7.28,0.06,,15.95,1,C,0,0,0,0,0,0,1
4,7,300,217,0.12,5.1,0.04,,11.31,1,C,0,0,0,0,0,0,1
5,8,295,216,0.13,6.32,0.05,,18.43,1,C,0,0,0,0,0,0,1
6,9,289,214,0.15,4.12,0.03,,14.04,1,C,0,0,0,0,0,0,1
7,10,285,213,0.17,3.61,0.03,,33.69,2,C,0,0,0,0,0,0,1
8,11,282,211,0.18,6.32,0.05,,18.43,1,C,0,0,0,0,0,0,1
9,12,276,209,0.2,7.81,0.06,,39.81,2,C,0,0,0,0,0,0,1
10,13,270,204,0.22,9.85,0.08,,23.96,2,C,0,0,0,0,0,0,1
11,14,261,200,0.23,7.81,0.06,,39.81,2,C,0,0,0,0,0,0,1
12,15,255,195,0.25,6.4,0.05,,38.66,2,C,0,0,0,0,0,0,1
13,16,250,191,0.27,4.47,0.04,,26.57,2,C,0,0,0,0,0,0,1
14,17,246,189,0.28,4.24,0.03,,45.0,2,B2,0,1,0,0,0,0,1
15,18,243,186,0.3,4.12,0.03,,14.04,1,B2,0,0,0,0,0,0,1
16,19,239,185,0.32,1.41,0.01,,45.0,2,B2,0,0,0,0,0,0,1
17,20,238,184,0.33,6.32,0.05,,18.43,1,B2,0,0,0,0,0,0,1
18,21,232,182,0.35,2.83,0.02,,45.0,2,B2,0,0,0,0,0,0,1
19,22,230,180,0.37,2.0,0.02,,0.0,1,B2,0,0,0,0,0,0,1
20,23,228,180,0.38,6.08,0.05,,9.46,1,B2,0,0,0,0,0,0,1
21,24,222,179,0.4,6.08,0.05,,350.54,1,B2,0,0,0,0,0,0,1
22,25,216,180,0.42,9.22,0.07,,12.53,1,B2,0,0,0,0,0,0,1
23,26,207,178,0.43,11.18,0.09,,10.3,1,B2,0,0,0,0,0,0,1
24,27,196,176,0.45,8.25,0.07,,14.04,1,B2,0,0,0,0,0,0,1
25,28,188,174,0.47,3.0,0.02,,0.0,1,B2,0,0,0,0,0,0,1
26,29,185,174,0.48,6.08,0.05,,9.46,1,B2,0,0,0,0,0,0,1
27,30,179,173,0.5,3.16,0.03,,18.43,1,B2,0,0,0,0,0,0,1
28,31,176,172,0.52,6.0,0.05,,0.0,1,B2,0,0,0,0,0,0,1
29,32,170,172,0.53,2.24,0.02,,26.57,2,B2,0,0,0,0,0,0,1
30,33,168,171,0.55,4.0,0.03,,0.0,1,B2,0,0,0,0,0,0,1
31,34,164,171,0.57,2.83,0.02,,45.0,2,B1,1,0,0,0,0,0,1
32,35,162,169,0.58,2.83,0.02,,45.0,2,B1,0,0,0,0,0,0,1
33,36,160,167,0.6,5.39,0.04,,111.8,3,B1,0,0,0,0,0,0,0
34,37,162,162,0.62,4.12,0.03,,104.04,3,B1,0,0,0,0,0,0,0
35,38,163,158,0.63,3.16,0.03,,108.43,3,B1,0,0,0,0,0,0,0
36,39,164,155,0.65,3.16,0.03,,108.43,3,B1,0,0,0,0,0,0,0
37,40,165,152,0.67,3.16,0.03,,108.43,3,B1,0,0,0,0,0,0,0
38,41,166,149,0.68,2.0,0.02,,90.0,3,B2,1,0,0,0,0,0,0
39,42,166,147,0.7,2.24,0.02,,116.57,4,B2,0,0,0,0,0,0,0
40,43,167,145,0.72,2.0,0.02,,90.0,3,B2,0,0,0,0,0,0,0
41,44,167,143,0.73,3.0,0.02,,90.0,3,B2,0,0,0,0,0,0,0
42,45,167,140,0.75,2.0,0.02,,90.0,3,B2,0,0,0,0,0,0,0
43,46,167,138,0.77,0.0,0.0,,0.0,1,B2,0,0,0,0,0,0,1
44,47,167,138,0.78,3.61,0.03,,123.69,4,B2,0,0,0,0,0,0,0
45,48,169,135,0.8,2.0,0.02,,90.0,3,B2,0,0,0,0,0,0,0
46,49,169,133,0.82,1.41,0.01,,135.0,4,B2,0,0,0,0,0,0,0
47,50,170,132,0.83,2.24,0.02,,243.43,6,B2,0,0,0,0,0,0,0
48,51,171,134,0.85,6.32,0.05,,198.43,5,B2,0,0,0,0,0,0,0
49,52,177,136,0.87,2.83,0.02,,225.0,6,B2,0,0,0,0,0,0,0
50,53,179,138,0.88,3.61,0.03,,213.69,6,B2,0,0,0,0,0,0,0
51,54,182,140,0.9,1.41,0.01,,225.0,6,B2,0,0,0,0,0,0,0
52,55,183,141,0.92,3.16,0.03,,198.43,5,B2,0,0,0,0,0,0,0
53,56,186,142,0.93,5.83,0.05,,210.96,6,B2,0,0,0,0,0,0,0
54,57,191,145,0.95,1.0,0.01,,0.0,1,B2,0,0,0,0,0,0,1
55,58,190,145,0.97,3.16,0.03,,198.43,5,B2,0,0,0,0,0,0,0
56,59,193,146,0.98,3.16,0.03,,198.43,5,B2,0,0,0,0,0,0,0
57,60,196,147,1.0,2.83,0.02,,225.0,6,B2,0,0,0,0,0,0,0
58,61,198,149,1.02,1.41,0.01,,225.0,6,B2,0,0,0,0,0,0,0
59,62,199,150,1.03,2.0,0.02,2.17,180.0,5,B2,0,0,0,0,0,0,0
60,63,201,150,1.05,1.41,0.01,2.07,225.0,6,B2,0,0,0,0,0,0,0
61,64,202,151,1.07,1.0,0.01,2.01,180.0,5,B2,0,0,0,0,0,0,0
62,65,203,151,1.08,1.0,0.01,1.96,270.0,7,B2,0,0,0,0,0,0,0
63,66,203,152,1.1,2.24,0.02,1.92,206.57,6,B2,0,0,0,0,0,0,0
64,67,205,153,1.12,2.24,0.02,1.9,206.57,6,B2,0,0,0,0,0,0,0
65,68,207,154,1.13,1.41,0.01,1.86,225.0,6,B2,0,0,0,0,0,0,0
66,69,208,155,1.15,3.16,0.03,1.86,198.43,5,B2,0,0,0,0,0,0,0
