,frame,x,y,ts,dst_px,dst_cm,speed_cms,angle,dir,box,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,sharp_turns
0,3,403,155,0.05,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
1,4,404,155,0.07,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
2,5,406,155,0.08,1.41,0.01,,135.0,4,D1,0,0,0,0,0,0,0
3,6,407,154,0.1,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
4,7,408,154,0.12,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
5,8,410,154,0.13,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
6,9,412,154,0.15,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
7,10,413,154,0.17,9.0,0.07,,180.0,5,D1,0,0,0,0,0,0,0
8,11,422,154,0.18,5.1,0.04,,11.31,1,D1,0,0,0,0,0,0,1
9,12,417,153,0.2,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
10,13,418,153,0.22,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
11,14,420,153,0.23,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
12,15,421,153,0.25,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
13,16,423,153,0.27,3.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
14,17,426,153,0.28,0.0,0.0,,0.0,1,D1,0,0,0,0,0,0,1
15,18,426,153,0.3,3.16,0.03,,161.57,5,D1,0,0,0,0,0,0,0
16,19,429,152,0.32,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
17,20,430,152,0.33,0.0,0.0,,0.0,1,D1,0,0,0,0,0,0,1
18,21,430,152,0.35,3.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
19,22,433,152,0.37,0.0,0.0,,0.0,1,D1,0,0,0,0,0,0,1
20,23,433,152,0.38,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
21,24,435,152,0.4,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
22,25,437,152,0.42,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
23,26,438,152,0.43,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
24,27,440,152,0.45,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
25,28,441,152,0.47,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
26,29,442,152,0.48,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
27,30,444,152,0.5,1.41,0.01,,135.0,4,D1,0,0,0,0,0,0,0
28,31,445,151,0.52,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
29,32,447,151,0.53,0.0,0.0,,0.0,1,D1,0,0,0,0,0,0,1
30,33,447,151,0.55,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
31,34,448,151,0.57,1.41,0.01,,225.0,6,D1,0,0,0,0,0,0,0
32,35,449,152,0.58,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
33,36,450,152,0.6,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
34,37,452,152,0.62,1.0,0.01,,180.0,5,D1,0,0,0,0,0,0,0
35,38,453,152,0.63,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
36,39,455,152,0.65,1.0,0.01,,90.0,3,D1,0,0,0,0,0,0,0
37,40,455,151,0.67,1.41,0.01,,225.0,6,D1,0,0,0,0,0,0,0
38,41,456,152,0.68,2.0,0.02,,180.0,5,D1,0,0,0,0,0,0,0
39,42,458,152,0.7,0.0,0.0,,0.0,1,D1,0,0,0,0,0,0,1
