,frame,x,y,ts,dst_px,dst_cm,speed_cms,angle,dir,box,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,sharp_turns
0,3,289,567,0.05,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
1,3,289,567,0.05,1.0,0.01,,90.0,3,E2,0,0,0,0,0,0,0
2,4,289,566,0.07,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
3,4,289,566,0.07,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
4,5,289,566,0.08,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
5,5,289,566,0.08,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
6,6,289,566,0.1,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
7,6,289,566,0.1,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
8,7,289,566,0.12,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
9,7,289,566,0.12,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
10,8,289,566,0.13,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
11,8,289,566,0.13,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
12,9,289,566,0.15,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
13,9,289,566,0.15,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
14,10,289,566,0.17,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
15,10,289,566,0.17,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
16,11,289,566,0.18,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
17,11,289,566,0.18,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
18,12,289,566,0.2,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
19,12,289,566,0.2,1.0,0.01,,90.0,3,E2,0,0,0,0,0,0,0
20,13,289,565,0.22,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
21,13,289,565,0.22,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
22,14,289,565,0.23,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
23,14,289,565,0.23,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
24,15,289,565,0.25,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
25,15,289,565,0.25,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
26,16,289,565,0.27,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
27,16,289,565,0.27,1.0,0.01,,180.0,5,E2,0,0,0,0,0,0,0
28,17,290,565,0.28,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
29,17,290,565,0.28,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
30,18,290,565,0.3,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
31,18,290,565,0.3,1.0,0.01,,90.0,3,E2,0,0,0,0,0,0,0
32,19,290,564,0.32,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
33,19,290,564,0.32,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
34,20,290,564,0.33,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
35,20,290,564,0.33,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
36,21,290,564,0.35,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
37,21,290,564,0.35,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
38,22,290,564,0.37,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
39,22,290,564,0.37,3.0,0.02,,180.0,5,E2,0,0,0,0,0,0,0
40,23,293,564,0.38,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
41,23,293,564,0.38,3.0,0.02,,0.0,1,E2,0,0,0,0,0,0,1
42,24,290,564,0.4,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
