,frame,x,y,ts,dst_px,dst_cm,speed_cms,angle,dir,box,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,sharp_turns
0,3,330,451,0.05,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
1,3,330,451,0.05,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
2,4,330,451,0.07,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
3,4,330,451,0.07,2.0,0.02,,180.0,5,E1,0,0,0,0,0,0,0
4,5,332,451,0.08,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
5,5,332,451,0.08,3.16,0.03,,71.57,3,E1,0,0,0,0,0,0,1
6,6,331,448,0.1,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
7,6,331,448,0.1,2.24,0.02,,63.43,2,E1,0,0,0,0,0,0,1
8,7,330,446,0.12,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
9,7,330,446,0.12,3.16,0.03,,108.43,3,E1,0,0,0,0,0,0,0
10,8,331,443,0.13,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
11,8,331,443,0.13,4.0,0.03,,180.0,5,E1,0,0,0,0,0,0,0
12,9,335,443,0.15,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
13,9,335,443,0.15,2.0,0.02,,90.0,3,E1,0,0,0,0,0,0,0
14,10,335,441,0.17,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
15,10,335,441,0.17,1.41,0.01,,315.0,8,E1,0,0,0,0,0,0,1
16,11,334,442,0.18,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
17,11,334,442,0.18,2.24,0.02,,243.43,6,E1,0,0,0,0,0,0,0
18,12,335,444,0.2,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
19,12,335,444,0.2,1.41,0.01,,315.0,8,E1,0,0,0,0,0,0,1
20,13,334,445,0.22,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
21,13,334,445,0.22,1.41,0.01,,315.0,8,E1,0,0,0,0,0,0,1
22,14,333,446,0.23,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
23,14,333,446,0.23,1.41,0.01,,315.0,8,E1,0,0,0,0,0,0,1
24,15,332,447,0.25,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
25,15,332,447,0.25,1.41,0.01,,315.0,8,E1,0,0,0,0,0,0,1
26,16,331,448,0.27,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
27,16,331,448,0.27,2.0,0.02,,0.0,1,E1,0,0,0,0,0,0,1
28,17,329,448,0.28,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
29,17,329,448,0.28,1.41,0.01,,315.0,8,E1,0,0,0,0,0,0,1
30,18,328,449,0.3,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
31,18,328,449,0.3,1.0,0.01,,270.0,7,E1,0,0,0,0,0,0,0
32,19,328,450,0.32,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
33,19,328,450,0.32,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
34,20,328,450,0.33,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
35,20,328,450,0.33,1.0,0.01,,270.0,7,E1,0,0,0,0,0,0,0
36,21,328,451,0.35,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
37,21,328,451,0.35,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
38,22,328,451,0.37,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
39,22,328,451,0.37,1.41,0.01,,225.0,6,E1,0,0,0,0,0,0,0
40,23,329,452,0.38,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
41,23,329,452,0.38,1.0,0.01,,0.0,1,E1,0,0,0,0,0,0,1
42,24,328,452,0.4,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
43,24,328,452,0.4,1.0,0.01,,270.0,7,E1,0,0,0,0,0,0,0
44,25,328,453,0.42,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
45,25,328,453,0.42,1.0,0.01,,180.0,5,E1,0,0,0,0,0,0,0
46,26,329,453,0.43,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
47,26,329,453,0.43,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
48,27,329,453,0.45,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
49,27,329,453,0.45,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
50,28,329,453,0.47,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
51,28,329,453,0.47,1.0,0.01,,0.0,1,E1,0,0,0,0,0,0,1
52,29,328,453,0.48,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
53,29,328,453,0.48,1.41,0.01,,45.0,2,E1,0,0,0,0,0,0,1
54,30,327,452,0.5,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
55,30,327,452,0.5,2.83,0.02,,135.0,4,E1,0,0,0,0,0,0,0
56,31,329,450,0.52,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
57,31,329,450,0.52,7.07,0.06,,171.87,5,E1,0,0,0,0,0,0,0
58,32,336,449,0.53,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
59,32,336,449,0.53,2.0,0.02,0.43,90.0,3,E1,0,0,0,0,0,0,0
60,33,336,447,0.55,0.0,0.0,0.43,0.0,1,E1,0,0,0,0,0,0,1
61,33,336,447,0.55,1.41,0.01,0.44,135.0,4,E1,0,0,0,0,0,0,0
62,34,337,446,0.57,0.0,0.0,0.44,0.0,1,E1,0,0,0,0,0,0,1
63,34,337,446,0.57,1.41,0.01,0.43,135.0,4,E1,0,0,0,0,0,0,0
64,35,338,445,0.58,0.0,0.0,0.43,0.0,1,E1,0,0,0,0,0,0,1
65,35,338,445,0.58,1.0,0.01,0.41,90.0,3,E1,0,0,0,0,0,0,0
66,36,338,444,0.6,0.0,0.0,0.41,0.0,1,E1,0,0,0,0,0,0,1
67,36,338,444,0.6,3.16,0.03,0.42,198.43,5,E1,0,0,0,0,0,0,0
68,37,341,445,0.62,0.0,0.0,0.42,0.0,1,E1,0,0,0,0,0,0,1
69,37,341,445,0.62,2.0,0.02,0.41,180.0,5,E1,0,0,0,0,0,0,0
70,38,343,445,0.63,0.0,0.0,0.41,0.0,1,E1,0,0,0,0,0,0,1
71,38,343,445,0.63,3.16,0.03,0.41,161.57,5,E1,0,0,0,0,0,0,0
72,39,346,444,0.65,0.0,0.0,0.41,0.0,1,E1,0,0,0,0,0,0,1
73,39,346,444,0.65,1.0,0.01,0.4,180.0,5,E1,0,0,0,0,0,0,0
74,40,347,444,0.67,0.0,0.0,0.4,0.0,1,E1,0,0,0,0,0,0,1
75,40,347,444,0.67,2.24,0.02,0.41,63.43,2,E1,0,0,0,0,0,0,1
76,41,346,442,0.68,0.0,0.0,0.41,0.0,1,E1,0,0,0,0,0,0,1
77,41,346,442,0.68,6.4,0.05,0.44,38.66,2,E1,0,0,0,0,0,0,1
78,42,341,438,0.7,0.0,0.0,0.44,0.0,1,E1,0,0,0,0,0,0,1
79,42,341,438,0.7,2.24,0.02,0.45,63.43,2,E1,0,0,0,0,0,0,1
80,43,340,436,0.72,0.0,0.0,0.45,0.0,1,E1,0,0,0,0,0,0,1
81,43,340,436,0.72,2.83,0.02,0.46,135.0,4,E1,0,0,0,0,0,0,0
82,44,342,434,0.73,0.0,0.0,0.46,0.0,1,E1,0,0,0,0,0,0,1
83,44,342,434,0.73,5.66,0.04,0.49,135.0,4,E1,0,0,0,0,0,0,0
84,45,346,430,0.75,0.0,0.0,0.49,0.0,1,E1,0,0,0,0,0,0,1
85,45,346,430,0.75,1.0,0.01,0.49,90.0,3,E1,0,0,0,0,0,0,0
86,46,346,429,0.77,0.0,0.0,0.49,0.0,1,E1,0,0,0,0,0,0,1
87,46,346,429,0.77,3.61,0.03,0.5,33.69,2,E1,0,0,0,0,0,0,1
88,47,343,427,0.78,0.0,0.0,0.5,0.0,1,E1,0,0,0,0,0,0,1
89,47,343,427,0.78,1.0,0.01,0.5,90.0,3,E1,0,0,0,0,0,0,0
90,48,343,426,0.8,0.0,0.0,0.5,0.0,1,E1,0,0,0,0,0,0,1
91,48,343,426,0.8,1.0,0.01,0.5,90.0,3,E1,0,0,0,0,0,0,0
92,49,343,425,0.82,0.0,0.0,0.5,0.0,1,E1,0,0,0,0,0,0,1
93,49,343,425,0.82,1.0,0.01,0.51,180.0,5,E1,0,0,0,0,0,0,0
94,50,344,425,0.83,0.0,0.0,0.51,0.0,1,E1,0,0,0,0,0,0,1
95,50,344,425,0.83,1.0,0.01,0.51,270.0,7,E1,0,0,0,0,0,0,0
96,51,344,426,0.85,0.0,0.0,0.51,0.0,1,E1,0,0,0,0,0,0,1
97,51,344,426,0.85,1.41,0.01,0.52,135.0,4,E1,0,0,0,0,0,0,0
98,52,345,425,0.87,0.0,0.0,0.52,0.0,1,E1,0,0,0,0,0,0,1
99,52,345,425,0.87,1.0,0.01,0.52,90.0,3,E1,0,0,0,0,0,0,0
100,53,345,424,0.88,0.0,0.0,0.52,0.0,1,E1,0,0,0,0,0,0,1
101,53,345,424,0.88,1.0,0.01,0.52,90.0,3,E1,0,0,0,0,0,0,0
102,54,345,423,0.9,0.0,0.0,0.52,0.0,1,E1,0,0,0,0,0,0,1
103,54,345,423,0.9,1.41,0.01,0.52,135.0,4,E1,0,0,0,0,0,0,0
104,55,346,422,0.92,0.0,0.0,0.52,0.0,1,E1,0,0,0,0,0,0,1
105,55,346,422,0.92,1.0,0.01,0.52,90.0,3,E1,0,0,0,0,0,0,0
106,56,346,421,0.93,0.0,0.0,0.52,0.0,1,E1,0,0,0,0,0,0,1
107,56,346,421,0.93,3.16,0.03,0.55,108.43,3,E1,0,0,0,0,0,0,0
108,57,347,418,0.95,0.0,0.0,0.55,0.0,1,E1,0,0,0,0,0,0,1
109,57,347,418,0.95,1.0,0.01,0.56,180.0,5,E1,0,0,0,0,0,0,0
110,58,348,418,0.97,0.0,0.0,0.56,0.0,1,E1,0,0,0,0,0,0,1
111,58,348,418,0.97,1.0,0.01,0.56,90.0,3,E1,0,0,0,0,0,0,0
112,59,348,417,0.98,0.0,0.0,0.56,0.0,1,E1,0,0,0,0,0,0,1
113,59,348,417,0.98,4.12,0.03,0.58,104.04,3,E1,0,0,0,0,0,0,0
114,60,349,413,1.0,0.0,0.0,0.58,0.0,1,E1,0,0,0,0,0,0,1
115,60,349,413,1.0,1.0,0.01,0.57,90.0,3,E1,0,0,0,0,0,0,0
116,61,349,412,1.02,0.0,0.0,0.57,0.0,1,E1,0,0,0,0,0,0,1
117,61,349,412,1.02,5.39,0.04,0.55,291.8,7,E1,0,0,0,0,0,0,1
118,62,347,417,1.03,0.0,0.0,0.55,0.0,1,E1,0,0,0,0,0,0,1
119,62,347,417,1.03,0.0,0.0,0.53,0.0,1,E1,0,0,0,0,0,0,1
120,63,347,417,1.05,0.0,0.0,0.53,0.0,1,E1,0,0,0,0,0,0,1
121,63,347,417,1.05,2.0,0.02,0.54,90.0,3,E1,0,0,0,0,0,0,0
122,64,347,415,1.07,0.0,0.0,0.54,0.0,1,E1,0,0,0,0,0,0,1
123,64,347,415,1.07,0.0,0.0,0.53,0.0,1,E1,0,0,0,0,0,0,1
124,65,347,415,1.08,0.0,0.0,0.53,0.0,1,E1,0,0,0,0,0,0,1
125,65,347,415,1.08,0.0,0.0,0.52,0.0,1,E1,0,0,0,0,0,0,1
