,frame,x,y,ts,dst_px,dst_cm,speed_cms,angle,dir,box,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,sharp_turns
0,3,342,586,0.05,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
1,3,342,586,0.05,2.0,0.02,,180.0,5,E2,0,0,0,0,0,0,0
2,4,344,586,0.07,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
3,4,344,586,0.07,1.0,0.01,,180.0,5,E2,0,0,0,0,0,0,0
4,5,345,586,0.08,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
5,5,345,586,0.08,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
6,6,345,586,0.1,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
7,6,345,586,0.1,1.0,0.01,,0.0,1,E2,0,0,0,0,0,0,1
8,7,344,586,0.12,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
9,7,344,586,0.12,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
10,8,344,586,0.13,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
11,8,344,586,0.13,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
12,9,344,586,0.15,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
13,9,344,586,0.15,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
14,10,344,586,0.17,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
15,10,344,586,0.17,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
16,11,344,586,0.18,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
17,11,344,586,0.18,1.0,0.01,,0.0,1,E2,0,0,0,0,0,0,1
18,12,343,586,0.2,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
19,12,343,586,0.2,1.0,0.01,,90.0,3,E2,0,0,0,0,0,0,0
20,13,343,585,0.22,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
21,13,343,585,0.22,1.41,0.01,,135.0,4,E2,0,0,0,0,0,0,0
22,14,344,584,0.23,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
23,14,344,584,0.23,2.0,0.02,,0.0,1,E2,0,0,0,0,0,0,1
24,15,342,584,0.25,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
25,15,342,584,0.25,1.0,0.01,,180.0,5,E2,0,0,0,0,0,0,0
26,16,343,584,0.27,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
27,16,343,584,0.27,2.24,0.02,,26.57,2,E2,0,0,0,0,0,0,1
28,17,341,583,0.28,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
29,17,341,583,0.28,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
30,18,341,583,0.3,8.25,0.07,,165.96,5,E2,0,0,0,0,0,0,0
31,19,349,581,0.32,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
32,19,349,581,0.32,1.0,0.01,,180.0,5,E2,0,0,0,0,0,0,0
33,20,350,581,0.33,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
34,20,350,581,0.33,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
35,21,350,581,0.35,1.0,0.01,,90.0,3,E2,0,0,0,0,0,0,0
36,22,350,580,0.37,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
37,22,350,580,0.37,1.0,0.01,,90.0,3,E2,0,0,0,0,0,0,0
38,23,350,579,0.38,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
39,23,350,579,0.38,4.12,0.03,,14.04,1,E2,0,0,0,0,0,0,1
40,24,346,578,0.4,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
41,24,346,578,0.4,2.24,0.02,,26.57,2,E2,0,0,0,0,0,0,1
42,25,344,577,0.42,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
43,25,344,577,0.42,6.32,0.05,,161.57,5,E2,0,0,0,0,0,0,0
44,26,350,575,0.43,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
45,26,350,575,0.43,4.12,0.03,,165.96,5,E2,0,0,0,0,0,0,0
46,27,354,574,0.45,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
47,27,354,574,0.45,2.0,0.02,,90.0,3,E2,0,0,0,0,0,0,0
48,28,354,572,0.47,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
49,28,354,572,0.47,1.0,0.01,,90.0,3,E2,0,0,0,0,0,0,0
50,29,354,571,0.48,0.0,0.0,,0.0,1,E2,0,0,0,0,0,0,1
