,name,dst_cm_B1,dst_cm_B2,dst_cm_C,dst_cm_D1,dst_cm_D2,dst_cm_E1,dst_cm_E2,time_B1,time_B2,time_C,time_D1,time_D2,time_E1,time_E2,sharps_B1,sharps_B2,sharps_C,sharps_D1,sharps_D2,sharps_E1,sharps_E2,speed_cms_mean,speed_cms_max,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,dirs_1_B1,dirs_2_B1,dirs_3_B1,dirs_4_B1,dirs_5_B1,dirs_6_B1,dirs_7_B1,dirs_8_B1,dirs_1_B2,dirs_2_B2,dirs_3_B2,dirs_4_B2,dirs_5_B2,dirs_6_B2,dirs_7_B2,dirs_8_B2,dirs_1_C,dirs_2_C,dirs_3_C,dirs_4_C,dirs_5_C,dirs_6_C,dirs_7_C,dirs_8_C,dirs_1_D1,dirs_2_D1,dirs_3_D1,dirs_4_D1,dirs_5_D1,dirs_6_D1,dirs_7_D1,dirs_8_D1,dirs_1_D2,dirs_2_D2,dirs_3_D2,dirs_4_D2,dirs_5_D2,dirs_6_D2,dirs_7_D2,dirs_8_D2,dirs_1_E1,dirs_2_E1,dirs_3_E1,dirs_4_E1,dirs_5_E1,dirs_6_E1,dirs_7_E1,dirs_8_E1,dirs_1_E2,dirs_2_E2,dirs_3_E2,dirs_4_E2,dirs_5_E2,dirs_6_E2,dirs_7_E2,dirs_8_E2
46,Trial47,1.44,9.16,10.0,0.0,0.0,8.83,0.0,16.51,195.73,41.14,0.0,0.0,31.05,0.0,9.67,114.22,19.61,0.0,0.0,13.97,0.0,0.1,0.59,11,9,0,0,7,0,9.66,0.0,0.08,0.04,0.06,0.0,0.04,0.01,113.7,0.32,0.42,0.32,1.5,0.34,0.45,0.19,18.5,0.81,1.3,0.41,1.49,0.73,1.13,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.52,2.07,0.48,0.45,0.36,1.35,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Trial48,2.92,33.78,22.95,19.42,0.42,40.3,7.1,12.99,150.48,58.68,32.9,3.24,103.44,19.42,6.76,78.41,27.68,13.31,1.78,44.99,8.78,0.33,1.42,40,21,10,2,15,10,6.54,0.03,0.24,0.15,0.19,0.17,0.31,0.15,75.35,1.51,2.14,1.11,4.57,1.66,2.46,1.34,25.46,1.02,1.26,1.13,3.15,1.35,0.76,1.02,11.62,0.5,0.83,1.11,2.9,0.88,0.83,1.04,1.77,0.0,0.0,0.0,0.08,0.05,0.03,0.01,40.05,2.15,5.21,2.09,2.51,2.26,5.8,1.89,7.71,0.47,0.9,0.38,0.53,0.52,0.67,0.45
48,Trial49,7.29,32.14,22.32,22.9,0.02,92.48,1.26,8.26,77.55,10.03,41.7,0.03,88.68,2.14,2.5,33.75,3.57,17.57,0.01,27.11,0.73,0.78,4.3,36,18,16,2,12,2,1.92,0.25,0.54,0.41,0.53,0.47,0.57,0.26,30.6,1.66,2.27,1.39,4.66,1.75,2.75,1.37,2.74,0.34,0.3,0.32,1.23,0.37,0.3,0.41,15.47,0.93,1.61,1.34,2.37,0.49,1.69,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,15.09,4.79,6.12,4.33,5.96,3.88,7.64,5.31,0.58,0.06,0.14,0.07,0.17,0.05,0.12,0.09
49,Trial50,17.92,18.27,11.76,8.59,0.0,1.59,0.0,65.21,83.42,36.03,25.53,0.0,3.46,0.0,28.57,39.95,15.7,11.01,0.0,1.22,0.0,0.27,0.77,83,7,4,0,6,0,26.19,1.28,2.55,1.09,3.44,1.24,2.21,1.06,38.16,1.02,1.9,0.81,4.12,1.39,1.8,0.77,14.52,0.77,0.76,0.71,3.04,0.63,0.73,0.42,10.12,0.25,0.84,0.58,1.9,0.42,0.57,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.12,0.32,0.06,0.07,0.14,0.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Trial51,0.0,0.0,0.0,0.0,0.0,13.48,13.53,0.0,0.0,0.0,0.0,0.0,215.49,248.71,0.0,0.0,0.0,0.0,0.0,120.85,141.72,0.06,0.39,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.77,0.38,3.36,0.47,0.85,0.6,3.09,0.56,140.08,1.16,2.4,0.33,1.36,0.99,2.33,0.33
51,Trial52,1.6,4.04,3.85,0.0,0.0,43.42,10.27,3.11,5.84,6.43,0.0,0.0,205.24,18.15,0.85,2.03,1.95,0.0,0.0,100.93,5.51,0.26,1.39,8,4,0,0,4,10,0.67,0.1,0.3,0.08,0.2,0.11,0.32,0.08,1.41,0.39,0.21,0.15,0.74,0.25,0.14,0.21,1.32,0.48,0.31,0.02,0.71,0.52,0.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.81,2.74,8.32,1.65,2.39,2.89,7.37,1.77,4.09,0.62,1.92,0.83,0.76,0.65,1.28,0.72
52,Trial53,0.0,0.0,0.0,0.0,0.0,12.38,1.32,0.0,0.0,0.0,0.0,0.0,237.96,0.85,0.0,0.0,0.0,0.0,0.0,135.73,0.24,0.06,2.27,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.95,0.36,3.27,0.23,0.38,0.3,2.82,0.23,0.18,0.02,0.07,0.0,0.12,0.1,0.01,0.01
53,Trial54,26.9,40.56,12.67,5.11,0.21,14.08,4.76,106.29,150.45,37.18,14.01,1.05,48.28,13.26,55.16,75.65,17.38,6.43,0.52,22.06,5.91,0.28,0.74,271,9,4,4,11,1,53.13,0.88,2.13,1.37,2.04,1.23,2.04,0.85,70.63,2.72,3.18,1.5,4.93,2.14,2.97,2.05,16.0,0.57,0.69,0.46,2.36,0.54,0.92,0.73,5.95,0.19,0.22,0.26,1.04,0.23,0.22,0.28,0.51,0.0,0.04,0.0,0.0,0.0,0.08,0.0,20.05,1.01,3.1,0.6,1.16,0.45,1.72,0.83,5.17,0.42,0.72,0.35,0.52,0.2,0.3,0.26
54,Trial55,2.07,26.4,5.88,12.93,0.0,34.16,8.18,8.48,99.03,8.53,100.18,0.0,92.09,30.75,4.24,49.04,3.65,55.92,0.0,43.01,15.11,0.26,3.6,30,5,6,0,11,5,4.14,0.06,0.22,0.12,0.2,0.04,0.26,0.04,46.42,1.28,2.45,1.18,3.5,1.06,2.25,1.18,3.09,0.28,0.36,0.29,0.25,0.29,0.32,0.23,55.19,0.3,0.97,0.32,1.6,0.35,0.96,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.35,1.75,4.38,1.37,2.39,1.54,3.07,1.31,14.36,0.28,1.32,0.29,0.78,0.23,0.88,0.28
55,Trial56,19.42,51.28,30.06,22.53,0.0,34.11,5.28,65.34,145.26,42.17,49.82,0.0,81.3,11.45,33.12,67.93,18.33,21.39,0.0,35.33,4.82,0.41,1.37,146,24,21,0,10,10,31.6,0.72,1.36,1.02,1.56,0.99,1.28,0.61,62.48,2.88,4.12,2.54,6.11,3.01,3.65,2.22,15.89,0.88,0.6,0.47,4.09,1.24,0.64,1.45,19.1,0.93,1.64,1.51,2.78,1.09,1.56,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.89,2.07,3.72,1.77,2.33,1.87,4.09,1.96,4.17,0.37,0.52,0.27,0.41,0.5,0.4,0.22
