,ttB1,ttB2,ttC,ttD1,ttD2,ttE1,ttE2,word,behavior
55,9559.06,24745.48,2349.41,1068.75,0.0,3416.19,367.1,B2B1E1CD1E2,"MS,ME,Ae,LA"
56,6741.91,1469.68,404.53,182.6,51.82,2360.49,0.0,B1E1B2CD1D2,"HS,ME,Le,AA"
57,11781.35,21674.3,489.27,54.84,0.0,4486.54,263.16,B2B1E1CE2D1,"MS,ME,Ae,MA"
58,0.0,0.0,1608.36,1261.44,0.0,2968.48,0.0,E1CD1,"AS,ME,Ae,AA"
59,3.21,475.63,642.6,715.11,471.41,671.9,102.01,D1E1CB2D2E2B1,"LS,ME,Me,MA"
60,439.62,1949.06,1675.37,1149.55,101.94,3546.31,727.01,E1B2CD1E2B1D2,"MS,ME,Le,MA"
61,0.0,0.0,291.48,2015.27,111.25,1688.46,31.68,D1E1CD2E2,"AS,ME,Me,LA"
62,961.0,5627.93,2052.05,671.18,0.0,2602.28,350.36,B2E1CB1D1E2,"MS,ME,Ae,LA"
63,0.0,0.0,1.89,691.33,19.97,4.08,0.82,D1D2E1CE2,"AS,ME,Me,LA"
64,168.24,924.25,321.85,0.0,0.0,4621.1,671.84,E1B2E2CB1,"LS,ME,Ae,MA"
65,677.15,2978.92,157.24,5790.22,2693.83,882.91,140.84,D1B2D2E1B1CE2,"MS,ME,Me,LA"
66,0.0,0.0,0.0,0.0,1.83,0.0,0.0,D2,"AS,AE,He,Le,AA"
67,1391.22,4631.64,196.96,530.06,112.65,2858.32,694.91,B2E1B1E2D1CD2,"MS,ME,Le,MA"
68,10338.34,9520.12,1039.53,223.39,0.0,4223.99,3199.86,B1B2E1E2CD1,"HS,ME,Ae,MA"
69,0.98,20.48,46.3,685.34,1360.59,24.3,3.99,D2D1CE1B2E2B1,"LS,ME,He,MA"
70,163.48,5281.87,3148.98,1328.09,31.33,1735.9,85.89,B2CE1D1B1E2D2,"MS,ME,Le,MA"
71,191.92,1644.42,375.68,344.18,141.08,317.24,0.0,B2CD1E1B1D2,"MS,ME,Le,AA"
72,796.68,5128.9,163.62,0.0,0.0,3729.88,253.85,B2E1B1E2C,"MS,LE,Ae,MA"
73,2449.3,14707.18,1065.67,573.33,59.78,1836.35,255.07,B2B1E1CD1E2D2,"MS,ME,Le,MA"
74,0.0,33.28,88.97,31.67,0.0,457.01,41.79,E1CE2B2D1,"AS,ME,Ae,MA"
75,307.82,3189.7,558.43,221.13,0.0,1678.03,271.74,B2E1CB1E2D1,"MS,ME,Ae,MA"
76,2995.7,3504.36,1410.09,1154.39,28.81,4121.58,1670.28,E1B2B1E2CD1D2,"MS,ME,Le,MA"
77,1553.0,6596.39,58.73,0.0,0.0,2977.75,743.78,B2E1B1E2C,"MS,LE,Ae,MA"
78,610.59,2853.29,1725.53,2566.58,1536.09,2570.08,570.47,B2E1D1CD2B1E2,"MS,ME,Me,LA"
79,5428.96,10924.73,3172.61,0.0,0.0,8964.9,978.52,B2E1B1CE2,"MS,ME,Ae,LA"
