,ttB1,ttB2,ttC,ttD1,ttD2,ttE1,ttE2,word,behavior,name
64,3487.83,2159.08,432.0,158.67,3.06,21.54,0.0,B1B2CD1E1D2,"HS,ME,Le,AA",Trial65
65,2276.98,509.22,74.5,67.14,14.84,113.28,12.33,B1B2E1CD1D2E2,"HS,ME,Me,LA",Trial66
66,43.38,134.4,144.0,33.72,2.78,1225.35,481.28,E1E2CB2B1D1D2,"MS,ME,Le,MA",Trial67
67,549.24,14.84,6.27,65.92,2.7,33.3,59.5,B1D1E2E1B2CD2,"HS,ME,Le,MA",Trial68
68,28.65,51.1,162.75,187.32,10.6,133.6,1301.12,E2D1CE1B2B1D2,"MS,ME,Le,HA",Trial69
69,918.54,236.16,94.68,134.75,12.2,1267.76,656.83,E1B1E2B2D1CD2,"MS,ME,Le,MA",Trial70
70,1006.24,119.13,51.84,181.68,67.28,7.2,1.56,B1D1B2D2CE1E2,"HS,ME,Me,LA",Trial71
71,645.06,198.88,120.0,28.86,3.06,983.2,1817.01,E2E1B1B2CD1D2,"MS,ME,Le,HA",Trial72
72,243.87,388.5,238.26,326.48,51.39,1131.83,3113.7,E2E1B2D1B1CD2,"MS,ME,Le,HA",Trial73
73,2467.4,768.4,1216.13,336.38,14.25,1001.42,629.31,B1CE1B2E2D1D2,"HS,ME,Le,MA",Trial74
74,996.12,482.98,560.92,1533.76,126.0,230.85,43.47,D1B1CB2E1D2E2,"MS,ME,Me,LA",Trial75
75,3075.56,3360.0,1769.82,56.88,9.56,0.0,1.52,B2B1CD1D2E2,"MS,ME,Me,LA",Trial76
76,2158.42,539.83,416.02,98.2,0.57,202.5,4.58,B1B2CE1D1E2D2,"HS,ME,Le,MA",Trial77
77,1491.84,319.77,23.73,0.0,0.0,215.28,46.86,B1B2E1E2C,"HS,LE,Ae,MA",Trial78
78,1378.19,182.7,183.96,154.57,8.2,25.24,0.38,B1CB2D1E1D2E2,"HS,ME,Me,LA",Trial79
79,2420.85,340.6,30.24,1.42,0.0,7.88,0.0,B1B2CE1D1,"HS,ME,Ae,AA",Trial80
80,21.6,130.2,482.4,1685.4,473.97,1525.16,1099.62,D1E1E2CD2B2B1,"LS,ME,Me,MA",Trial81
81,0.0,0.73,10.0,1100.0,13.24,28.74,3.61,D1E1D2CE2B2,"AS,ME,Me,MA",Trial82
82,7.56,38.16,144.87,219.44,16.1,25.2,925.05,E2D1CB2E1D2B1,"LS,ME,Me,HA",Trial83
83,661.56,54.0,31.15,29.19,0.78,36.16,6.69,B1B2E1CD1E2D2,"HS,ME,Le,MA",Trial84
84,205.56,372.15,140.69,69.85,0.32,72.6,619.83,E2B2B1CE1D1D2,"MS,ME,Le,HA",Trial85
85,0.0,0.0,0.0,0.0,0.0,65.52,2014.14,E2E1,"AS,AE,Ae,HA",Trial86
86,2701.28,332.01,91.5,599.7,59.29,0.0,0.02,B1D1B2CD2E2,"HS,ME,Me,LA",Trial87
87,810.53,43.6,166.76,564.92,341.64,471.58,538.32,B1D1E2E1D2CB2,"HS,ME,Me,MA",Trial88
88,1451.0,991.8,558.31,117.92,1.56,860.16,674.8,B1B2E1E2CD1D2,"HS,ME,Le,MA",Trial89
89,0.65,0.4,11.2,31.14,655.5,30.55,12.36,D2D1E1E2CB1B2,"MS,ME,He,MA",Trial90
90,354.52,33.06,41.72,162.14,108.71,285.12,755.7,E2B1E1D1D2CB2,"MS,ME,Me,HA",Trial91
91,719.04,463.03,550.66,208.26,14.84,884.24,142.4,E1B1CB2D1E2D2,"MS,ME,Le,MA",Trial92
92,849.4,58.41,81.5,142.11,26.24,13.02,0.13,B1D1CB2D2E1E2,"HS,ME,Me,LA",Trial93
93,24.08,115.38,757.9,264.8,53.8,142.95,1513.8,E2CD1E1B2D2B1,"LS,ME,Me,HA",Trial94
94,1023.18,100.1,86.67,142.4,30.18,8.82,6.48,B1D1B2CD2E1E2,"HS,ME,Me,LA",Trial95
95,824.1,570.9,1290.81,2221.1,258.59,832.52,166.76,D1CE1B1B2D2E2,"MS,ME,Me,LA",Trial96
96,555.66,124.65,1521.96,50.58,2.44,1.1,0.0,CB1B2D1D2E1,"MS,HE,Me,AA",Trial97
