,ttB1,ttB2,ttC,ttD1,ttD2,ttE1,ttE2,word,behavior
52,0.0,0.4,4.53,0.0,0.0,15.33,27.72,E2E1CB2,"AS,ME,Ae,HA"
53,4845.02,1888.82,1493.77,926.16,25.58,825.41,67.52,B1B2CD1E1E2D2,"HS,ME,Le,MA"
54,7130.27,2045.31,344.05,122.79,23.95,2104.19,1218.59,B1E1B2E2CD1D2,"HS,ME,Le,MA"
55,7540.85,2420.51,476.83,108.39,19.15,938.84,302.92,B1B2E1CE2D1D2,"HS,ME,Le,MA"
56,7204.17,2372.66,322.59,0.0,0.0,1676.04,265.74,B1B2E1CE2,"HS,ME,Ae,LA"
57,1052.04,194.47,503.42,2217.42,704.62,984.37,76.0,D1B1E1D2CB2E2,"MS,ME,Me,LA"
58,6669.8,321.08,6.67,7.89,0.0,70.13,13.39,B1B2E1E2D1C,"HS,LE,Ae,MA"
59,1824.2,145.53,30.85,0.57,0.0,316.02,712.42,B1E2E1B2CD1,"HS,ME,Ae,MA"
60,653.32,16.73,10.57,0.0,0.0,655.95,387.69,E1B1E2B2C,"MS,LE,Ae,MA"
61,1432.76,33.52,5.11,0.0,0.0,0.0,0.0,B1B2C,"HS,LE,Ae,AA"
62,8474.64,4836.34,924.28,445.05,12.89,270.73,0.0,B1B2CD1E1D2,"HS,ME,Le,AA"
63,7290.27,1308.54,143.75,134.7,31.56,664.41,120.25,B1B2E1CD1E2D2,"HS,ME,Le,MA"
64,84.3,542.46,372.61,68.84,9.88,1281.32,237.55,E1B2CE2B1D1D2,"MS,ME,Le,MA"
65,1537.96,37.93,14.99,139.36,6.86,223.42,376.54,B1E2E1D1B2CD2,"HS,ME,Le,MA"
66,62.26,109.5,341.78,397.6,22.99,115.99,239.9,D1CE2E1B2B1D2,"MS,ME,Le,MA"
67,2055.27,473.87,212.37,312.29,27.67,1572.12,540.36,B1E1E2B2D1CD2,"HS,ME,Le,MA"
68,2029.01,223.8,57.25,32.55,72.9,60.23,26.6,B1B2D2E1CD1E2,"HS,ME,Me,LA"
69,869.33,271.11,163.97,48.38,4.59,799.84,1359.86,E2B1E1B2CD1D2,"MS,ME,Le,HA"
70,245.84,374.69,324.98,341.27,46.44,427.68,501.0,E2E1B2D1CB1D2,"MS,ME,Le,HA"
71,1.19,4.62,83.31,13116.56,561.25,59.0,4.2,D1D2CE1B2E2B1,"LS,ME,Me,MA"
72,2099.09,973.76,1124.94,3141.31,260.27,406.85,69.75,D1B1CB2E1D2E2,"MS,ME,Me,LA"
73,5918.64,6353.23,3226.95,129.05,20.74,0.0,57.04,B2B1CD1E2D2,"MS,ME,Le,MA"
74,4210.79,1043.45,839.68,215.41,1.68,775.75,45.91,B1B2CE1D1E2D2,"HS,ME,Le,MA"
75,3176.13,655.21,51.99,0.0,0.0,673.07,178.28,B1E1B2E2C,"HS,LE,Ae,MA"
76,2850.75,360.47,373.54,331.26,19.35,221.03,11.99,B1CB2D1E1D2E2,"HS,ME,Me,LA"
77,4960.62,695.87,69.99,4.43,0.0,140.43,0.0,B1B2E1CD1,"HS,ME,Ae,AA"
78,45.98,271.07,988.1,3475.93,963.06,1006.66,110.28,D1E1CD2B2E2B1,"LS,ME,Me,MA"
79,34.97,2.36,22.22,2209.84,25.13,143.26,38.14,D1E1E2B1D2CB2,"MS,ME,Me,MA"
80,16.47,82.37,305.08,477.53,33.69,12.52,99.43,D1CE2B2D2B1E1,"MS,ME,Me,MA"
81,1406.72,113.24,67.82,65.95,2.09,860.91,304.42,B1E1E2B2CD1D2,"HS,ME,Le,MA"
82,263.27,446.09,204.75,113.31,1.08,63.11,830.06,E2B2B1CD1E1D2,"MS,ME,Le,HA"
83,0.0,0.0,0.0,0.0,0.0,15.4,46.68,E2E1,"AS,AE,Ae,HA"
84,5188.96,629.32,148.27,1060.45,115.66,0.0,4.19,B1D1B2CD2E2,"HS,ME,Me,LA"
85,1694.2,93.03,350.22,1170.56,701.86,1017.09,1081.69,B1D1E2E1D2CB2,"HS,ME,Me,MA"
86,3032.61,2013.87,1141.26,254.39,3.79,1261.35,751.54,B1B2E1CE2D1D2,"HS,ME,Le,MA"
87,1.4,1.49,27.1,70.59,1533.41,36.77,6.52,D2D1E1CE2B2B1,"LS,ME,He,MA"
88,758.17,71.28,91.81,337.64,226.11,587.84,1534.36,E2B1E1D1D2CB2,"MS,ME,Me,HA"
89,1476.3,941.67,1119.51,434.03,32.07,2179.89,406.99,E1B1CB2D1E2D2,"MS,ME,Le,MA"
90,1955.19,123.12,165.04,300.04,55.8,311.19,5.95,B1E1D1CB2D2E2,"HS,ME,Me,LA"
91,48.56,213.87,1268.67,545.73,114.95,96.75,313.83,CD1E2B2D2E1B1,"LS,HE,Me,MA"
92,2335.17,208.58,184.63,299.44,63.85,159.91,112.58,B1D1B2CE1E2D2,"HS,ME,Le,MA"
93,1742.86,1148.46,2626.36,4504.41,532.03,1373.18,189.13,D1CB1E1B2D2E2,"MS,ME,Me,LA"
94,1231.01,261.74,3066.41,111.31,6.17,30.22,0.0,CB1B2D1E1D2,"MS,HE,Le,AA"
